"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","direction","screen_duration","acceleration","start_time","initial_speed","final_speed","correct_response","correct","key_response","ball_start_time","ball_end_time","key_press_time","rt_from_ball","practice","extreme","subject_id","study_id","session_id","right_bias","left_bias","recodeDir","recodeKey"
"","","","","","moving-image",130,514204,"0.0-5.4-0.110-0.110",2639,"","","UP",1500,0.7,1000,2.40833333333333,3.45833333333333,"a","true","a",1000,2496,2638,142,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",131,516928,"0.0-5.4-0.111-0.111",2211,"","","RIGHT",1000,1.06666,1000,3.86667,4.93333,"a","true","a",1002,2006,2211,205,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DECELERATING",1
"","","","","","moving-image",132,519692,"0.0-5.4-0.112-0.112",2250,"","","UP",1000,-1.6,1000,5.2,3.6,"d","false","a",1003,2004,2250,246,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",133,522760,"0.0-5.4-0.113-0.113",2556,"","","LEFT",1500,2.8,1000,0.833333333333334,5.03333333333333,"a","true","a",1001,2502,2556,54,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",134,526449,"0.0-5.4-0.114-0.114",3175,"","","DOWN",1500,-0.7,1000,3.45833333333333,2.40833333333333,"d","true","d",1000,2497,3175,678,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",0
"","","","","","moving-image",136,532515,"0.0-5.4-0.116-0.116",2767,"","","DOWN",1500,2.1,1000,1.35833333333333,4.50833333333333,"a","true","a",1007,2500,2767,267,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",137,535249,"0.0-5.4-0.117-0.117",2217,"","","LEFT",1000,1.6,1000,3.6,5.2,"a","true","a",1007,2005,2217,212,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",138,538076,"0.0-5.4-0.118-0.118",2317,"","","UP",1000,0,1000,4.4,4.4,"d","false","a",1006,2005,2317,312,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",139,540813,"0.0-5.4-0.119-0.119",2225,"","","LEFT",1000,1.06666,1000,3.86667,4.93333,"a","true","a",1000,2000,2225,225,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",140,544126,"0.0-5.4-0.120-0.120",2804,"","","DOWN",1500,2.1,1000,1.35833333333333,4.50833333333333,"a","true","a",1004,2497,2804,307,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",141,547568,"0.0-5.4-0.121-0.121",2933,"","","LEFT",1000,-1.06666,1000,4.93333,3.86667,"d","false","a",1000,2000,2932,932,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",142,550854,"0.0-5.4-0.122-0.122",2776,"","","DOWN",1000,-1.06666,1000,4.93333,3.86667,"d","true","d",1005,1990,2776,786,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",0
"","","","","","moving-image",143,553914,"0.0-5.4-0.123-0.123",2550,"","","LEFT",1500,3.54,1000,0.278333333333333,5.58833333333333,"a","true","a",1004,2504,2550,46,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
